DATE,IR3TCD01USM156N_PC1
1980-01-01,27.40247
1980-02-01,40.33366
1980-03-01,73.44521
1980-04-01,60.43738
1980-05-01,-3.64173
1980-06-01,-14.67337
1980-07-01,-14.44115
1980-08-01,-7.46965
1980-09-01,-5.04626
1980-10-01,-5.27086
1980-11-01,12.80576
1980-12-01,38.86821
1981-01-01,28.37939
1981-02-01,12.86713
1981-03-01,-17.87137
1981-04-01,-6.56753
1981-05-01,86.61900
1981-06-01,99.05771
1981-07-01,105.31792
1981-08-01,81.23108
1981-09-01,49.15855
1981-10-01,18.93354
1981-11-01,-20.40816
1981-12-01,-33.02949
1982-01-01,-21.40780
1982-02-01,-7.06320
1982-03-01,-1.52460
1982-04-01,-4.24403
1982-05-01,-24.46634
1982-06-01,-14.43787
1982-07-01,-24.32432
1982-08-01,-40.92428
1982-09-01,-36.69834
1982-10-01,-38.20663
1982-11-01,-28.28526
1982-12-01,-30.66453
1983-01-01,-38.11991
1983-02-01,-43.06667
1983-03-01,-38.84588
1983-04-01,-40.23546
1983-05-01,-38.47826
1983-06-01,-36.37621
1983-07-01,-29.31548
1983-08-01,-7.91706
1983-09-01,-11.91370
1983-10-01,-3.47003
1983-11-01,4.58101
1983-12-01,11.89376
1984-01-01,12.67943
1984-02-01,11.70960
1984-03-01,15.99540
1984-04-01,20.62572
1984-05-01,30.85984
1984-06-01,23.26087
1984-07-01,21.68421
1984-08-01,17.40020
1984-09-01,20.23429
1984-10-01,13.07190
1984-11-01,-1.92308
1984-12-01,-11.24871
1985-01-01,-13.58811
1985-02-01,-8.90985
1985-03-01,-10.51587
1985-04-01,-18.44380
1985-05-01,-28.71287
1985-06-01,-34.39153
1985-07-01,-33.91003
1985-08-01,-31.90933
1985-09-01,-29.76085
1985-10-01,-24.08478
1985-11-01,-14.92375
1985-12-01,-9.30233
1986-01-01,-3.93120
1986-02-01,-11.50748
1986-03-01,-19.73392
1986-04-01,-22.26148
1986-05-01,-16.03535
1986-06-01,-9.54301
1986-07-01,-16.62304
1986-08-01,-24.19974
1986-09-01,-27.99496
1986-10-01,-27.79188
1986-11-01,-26.24840
1986-12-01,-22.56410
1987-01-01,-24.93606
1987-02-01,-20.67620
1987-03-01,-14.77901
1987-04-01,-1.21212
1987-05-01,5.11278
1987-06-01,3.12036
1987-07-01,5.18053
1987-08-01,14.02027
1987-09-01,29.07180
1987-10-01,40.94903
1987-11-01,25.69444
1987-12-01,26.82119
1988-01-01,17.88756
1988-02-01,8.19672
1988-03-01,7.45543
1988-04-01,6.13497
1988-05-01,3.57654
1988-06-01,8.21326
1988-07-01,18.50746
1988-08-01,23.70370
1988-09-01,11.66893
1988-10-01,4.23940
1988-11-01,21.27072
1988-12-01,20.75718
1989-01-01,32.94798
1989-02-01,44.09091
1989-03-01,52.18703
1989-04-01,43.64162
1989-05-01,32.45856
1989-06-01,22.50333
1989-07-01,10.32746
1989-08-01,3.47305
1989-09-01,6.68287
1989-10-01,2.87081
1989-11-01,-4.44191
1989-12-01,-10.05405
1990-01-01,-11.30435
1990-02-01,-13.56467
1990-03-01,-17.24480
1990-04-01,-15.29175
1990-05-01,-12.93014
1990-06-01,-10.54348
1990-07-01,-7.53425
1990-08-01,-7.75463
1990-09-01,-8.20046
1990-10-01,-6.27907
1990-11-01,-4.29082
1990-12-01,-6.00962
1991-01-01,-12.13235
1991-02-01,-20.68127
1991-03-01,-22.75449
1991-04-01,-28.02850
1991-05-01,-29.22156
1991-06-01,-26.24544
1991-07-01,-26.17284
1991-08-01,-29.10916
1991-09-01,-32.13400
1991-10-01,-33.87097
1991-11-01,-38.48070
1991-12-01,-42.83887
1992-01-01,-43.51464
1992-02-01,-37.57669
1992-03-01,-34.10853
1992-04-01,-33.99340
1992-05-01,-35.36379
1992-06-01,-36.40857
1992-07-01,-43.64548
1992-08-01,-41.41593
1992-09-01,-42.77879
1992-10-01,-38.83677
1992-11-01,-27.53036
1992-12-01,-22.14765
1993-01-01,-21.23457
1993-02-01,-23.34152
1993-03-01,-26.82353
1993-04-01,-22.75000
1993-05-01,-18.84817
1993-06-01,-16.83938
1993-07-01,-6.23145
1993-08-01,-5.13595
1993-09-01,-0.31949
1993-10-01,-0.61350
1993-11-01,-6.42458
1993-12-01,-6.32184
1994-01-01,-1.25392
1994-02-01,9.93590
1994-03-01,21.22186
1994-04-01,29.77346
1994-05-01,45.48387
1994-06-01,40.80997
1994-07-01,49.68354
1994-08-01,53.18471
1994-09-01,61.21795
1994-10-01,70.06173
1994-11-01,72.83582
1994-12-01,92.94479
1995-01-01,98.09524
1995-02-01,79.59184
1995-03-01,63.12997
1995-04-01,52.36908
1995-05-01,33.48115
1995-06-01,30.53097
1995-07-01,21.98732
1995-08-01,19.95842
1995-09-01,13.91650
1995-10-01,5.08167
1995-11-01,-0.86356
1995-12-01,-10.65183
1996-01-01,-13.62179
1996-02-01,-16.39610
1996-03-01,-13.98374
1996-04-01,-12.27496
1996-05-01,-10.96346
1996-06-01,-7.45763
1996-07-01,-4.15945
1996-08-01,-6.41248
1996-09-01,-3.83944
1996-10-01,-6.56304
1996-11-01,-6.27178
1996-12-01,-3.20285
1997-01-01,0.74212
1997-02-01,4.27184
1997-03-01,4.53686
1997-04-01,6.52985
1997-05-01,6.34328
1997-06-01,3.66300
1997-07-01,1.26582
1997-08-01,3.70370
1997-09-01,1.63339
1997-10-01,4.43623
1997-11-01,6.69145
1997-12-01,6.61765
1998-01-01,2.02578
1998-02-01,3.16574
1998-03-01,0.90416
1998-04-01,-2.27671
1998-05-01,-1.92982
1998-06-01,-1.06007
1998-07-01,-0.17857
1998-08-01,-0.35714
1998-09-01,-3.39286
1998-10-01,-7.78761
1998-11-01,-8.71080
1998-12-01,-11.37931
1999-01-01,-11.73285
1999-02-01,-11.55235
1999-03-01,-12.00717
1999-04-01,-12.54480
1999-05-01,-11.98569
1999-06-01,-8.39286
1999-07-01,-6.26118
1999-08-01,-3.04659
1999-09-01,1.66359
1999-10-01,17.65835
1999-11-01,14.50382
1999-12-01,17.70428
2000-01-01,21.67689
2000-02-01,22.65306
2000-03-01,25.05092
2000-04-01,28.68852
2000-05-01,36.38211
2000-06-01,31.18908
2000-07-01,27.29008
2000-08-01,22.18115
2000-09-01,20.00000
2000-10-01,8.80914
2000-11-01,10.83333
2000-12-01,6.61157
2001-01-01,-5.54622
2001-02-01,-12.47920
2001-03-01,-20.35831
2001-04-01,-27.86624
2001-05-01,-40.08942
2001-06-01,-44.42793
2001-07-01,-45.12744
2001-08-01,-47.35250
2001-09-01,-56.51515
2001-10-01,-65.36732
2001-11-01,-69.47368
2001-12-01,-71.62791
2002-01-01,-69.03915
2002-02-01,-65.39924
2002-03-01,-60.94070
2002-04-01,-58.71965
2002-05-01,-54.72637
2002-06-01,-51.60428
2002-07-01,-51.09290
2002-08-01,-50.28736
2002-09-01,-38.67596
2002-10-01,-25.10823
2002-11-01,-31.52709
2002-12-01,-26.77596
2003-01-01,-25.86207
2003-02-01,-30.21978
2003-03-01,-35.60209
2003-04-01,-33.68984
2003-05-01,-32.96703
2003-06-01,-42.54144
2003-07-01,-41.34078
2003-08-01,-37.57225
2003-09-01,-38.63636
2003-10-01,-36.41618
2003-11-01,-20.14388
2003-12-01,-17.91045
2004-01-01,-17.82946
2004-02-01,-17.32283
2004-03-01,-14.63415
2004-04-01,-12.90323
2004-05-01,-1.63934
2004-06-01,40.38462
2004-07-01,49.52381
2004-08-01,55.55556
2004-09-01,72.22222
2004-10-01,85.45455
2004-11-01,103.60360
2004-12-01,122.72727
2005-01-01,146.22642
2005-02-01,163.80952
2005-03-01,182.85714
2005-04-01,186.11111
2005-05-01,168.33333
2005-06-01,131.50685
