DATE,IR3TCD01USM156N_CH1
1980-01-01,2.88
1980-02-01,4.11
1980-03-01,7.44
1980-04-01,6.08
1980-05-01,-0.37
1980-06-01,-1.46
1980-07-01,-1.46
1980-08-01,-0.80
1980-09-01,-0.60
1980-10-01,-0.72
1980-11-01,1.78
1980-12-01,5.22
1981-01-01,3.80
1981-02-01,1.84
1981-03-01,-3.14
1981-04-01,-1.06
1981-05-01,8.48
1981-06-01,8.41
1981-07-01,9.11
1981-08-01,8.05
1981-09-01,5.55
1981-10-01,2.45
1981-11-01,-3.20
1981-12-01,-6.16
1982-01-01,-3.68
1982-02-01,-1.14
1982-03-01,-0.22
1982-04-01,-0.64
1982-05-01,-4.47
1982-06-01,-2.44
1982-07-01,-4.32
1982-08-01,-7.35
1982-09-01,-6.18
1982-10-01,-5.88
1982-11-01,-3.53
1982-12-01,-3.83
1983-01-01,-5.15
1983-02-01,-6.46
1983-03-01,-5.52
1983-04-01,-5.81
1983-05-01,-5.31
1983-06-01,-5.26
1983-07-01,-3.94
1983-08-01,-0.84
1983-09-01,-1.27
1983-10-01,-0.33
1983-11-01,0.41
1983-12-01,1.03
1984-01-01,1.06
1984-02-01,1.00
1984-03-01,1.39
1984-04-01,1.78
1984-05-01,2.62
1984-06-01,2.14
1984-07-01,2.06
1984-08-01,1.70
1984-09-01,1.90
1984-10-01,1.20
1984-11-01,-0.18
1984-12-01,-1.09
1985-01-01,-1.28
1985-02-01,-0.85
1985-03-01,-1.06
1985-04-01,-1.92
1985-05-01,-3.19
1985-06-01,-3.90
1985-07-01,-3.92
1985-08-01,-3.66
1985-09-01,-3.36
1985-10-01,-2.50
1985-11-01,-1.37
1985-12-01,-0.8
1986-01-01,-0.32
1986-02-01,-1.00
1986-03-01,-1.78
1986-04-01,-1.89
1986-05-01,-1.27
1986-06-01,-0.71
1986-07-01,-1.27
1986-08-01,-1.89
1986-09-01,-2.22
1986-10-01,-2.19
1986-11-01,-2.05
1986-12-01,-1.76
1987-01-01,-1.95
1987-02-01,-1.59
1987-03-01,-1.07
1987-04-01,-0.08
1987-05-01,0.34
1987-06-01,0.21
1987-07-01,0.33
1987-08-01,0.83
1987-09-01,1.66
1987-10-01,2.33
1987-11-01,1.48
1987-12-01,1.62
1988-01-01,1.05
1988-02-01,0.5
1988-03-01,0.46
1988-04-01,0.40
1988-05-01,0.25
1988-06-01,0.57
1988-07-01,1.24
1988-08-01,1.60
1988-09-01,0.86
1988-10-01,0.34
1988-11-01,1.54
1988-12-01,1.59
1989-01-01,2.28
1989-02-01,2.91
1989-03-01,3.46
1989-04-01,3.02
1989-05-01,2.35
1989-06-01,1.69
1989-07-01,0.82
1989-08-01,0.29
1989-09-01,0.55
1989-10-01,0.24
1989-11-01,-0.39
1989-12-01,-0.93
1990-01-01,-1.04
1990-02-01,-1.29
1990-03-01,-1.74
1990-04-01,-1.52
1990-05-01,-1.24
1990-06-01,-0.97
1990-07-01,-0.66
1990-08-01,-0.67
1990-09-01,-0.72
1990-10-01,-0.54
1990-11-01,-0.36
1990-12-01,-0.50
1991-01-01,-0.99
1991-02-01,-1.70
1991-03-01,-1.90
1991-04-01,-2.36
1991-05-01,-2.44
1991-06-01,-2.16
1991-07-01,-2.12
1991-08-01,-2.32
1991-09-01,-2.59
1991-10-01,-2.73
1991-11-01,-3.09
1991-12-01,-3.35
1992-01-01,-3.12
1992-02-01,-2.45
1992-03-01,-2.20
1992-04-01,-2.06
1992-05-01,-2.09
1992-06-01,-2.21
1992-07-01,-2.61
1992-08-01,-2.34
1992-09-01,-2.34
1992-10-01,-2.07
1992-11-01,-1.36
1992-12-01,-0.99
1993-01-01,-0.86
1993-02-01,-0.95
1993-03-01,-1.14
1993-04-01,-0.91
1993-05-01,-0.72
1993-06-01,-0.65
1993-07-01,-0.21
1993-08-01,-0.17
1993-09-01,-0.01
1993-10-01,-0.02
1993-11-01,-0.23
1993-12-01,-0.22
1994-01-01,-0.04
1994-02-01,0.31
1994-03-01,0.66
1994-04-01,0.92
1994-05-01,1.41
1994-06-01,1.31
1994-07-01,1.57
1994-08-01,1.67
1994-09-01,1.91
1994-10-01,2.27
1994-11-01,2.44
1994-12-01,3.03
1995-01-01,3.09
1995-02-01,2.73
1995-03-01,2.38
1995-04-01,2.10
1995-05-01,1.51
1995-06-01,1.38
1995-07-01,1.04
1995-08-01,0.96
1995-09-01,0.70
1995-10-01,0.28
1995-11-01,-0.05
1995-12-01,-0.67
1996-01-01,-0.85
1996-02-01,-1.01
1996-03-01,-0.86
1996-04-01,-0.75
1996-05-01,-0.66
1996-06-01,-0.44
1996-07-01,-0.24
1996-08-01,-0.37
1996-09-01,-0.22
1996-10-01,-0.38
1996-11-01,-0.36
1996-12-01,-0.18
1997-01-01,0.04
1997-02-01,0.22
1997-03-01,0.24
1997-04-01,0.35
1997-05-01,0.34
1997-06-01,0.20
1997-07-01,0.07
1997-08-01,0.2
1997-09-01,0.09
1997-10-01,0.24
1997-11-01,0.36
1997-12-01,0.36
1998-01-01,0.11
1998-02-01,0.17
1998-03-01,0.05
1998-04-01,-0.13
1998-05-01,-0.11
1998-06-01,-0.06
1998-07-01,-0.01
1998-08-01,-0.02
1998-09-01,-0.19
1998-10-01,-0.44
1998-11-01,-0.50
1998-12-01,-0.66
1999-01-01,-0.65
1999-02-01,-0.64
1999-03-01,-0.67
1999-04-01,-0.70
1999-05-01,-0.67
1999-06-01,-0.47
1999-07-01,-0.35
1999-08-01,-0.17
1999-09-01,0.09
1999-10-01,0.92
1999-11-01,0.76
1999-12-01,0.91
2000-01-01,1.06
2000-02-01,1.11
2000-03-01,1.23
2000-04-01,1.40
2000-05-01,1.79
2000-06-01,1.60
2000-07-01,1.43
2000-08-01,1.20
2000-09-01,1.1
2000-10-01,0.54
2000-11-01,0.65
2000-12-01,0.40
2001-01-01,-0.33
2001-02-01,-0.75
2001-03-01,-1.25
2001-04-01,-1.75
2001-05-01,-2.69
2001-06-01,-2.99
2001-07-01,-3.01
2001-08-01,-3.13
2001-09-01,-3.73
2001-10-01,-4.36
2001-11-01,-4.62
2001-12-01,-4.62
2002-01-01,-3.88
2002-02-01,-3.44
2002-03-01,-2.98
2002-04-01,-2.66
2002-05-01,-2.20
2002-06-01,-1.93
2002-07-01,-1.87
2002-08-01,-1.75
2002-09-01,-1.11
2002-10-01,-0.58
2002-11-01,-0.64
2002-12-01,-0.49
2003-01-01,-0.45
2003-02-01,-0.55
2003-03-01,-0.68
2003-04-01,-0.63
2003-05-01,-0.60
2003-06-01,-0.77
2003-07-01,-0.74
2003-08-01,-0.65
2003-09-01,-0.68
2003-10-01,-0.63
2003-11-01,-0.28
2003-12-01,-0.24
2004-01-01,-0.23
2004-02-01,-0.22
2004-03-01,-0.18
2004-04-01,-0.16
2004-05-01,-0.02
2004-06-01,0.42
2004-07-01,0.52
2004-08-01,0.60
2004-09-01,0.78
2004-10-01,0.94
2004-11-01,1.15
2004-12-01,1.35
2005-01-01,1.55
2005-02-01,1.72
2005-03-01,1.92
2005-04-01,2.01
2005-05-01,2.02
2005-06-01,1.92
2005-07-01,2.00
2005-08-01,2.09
2005-09-01,2.01
2005-10-01,2.09
