DATE,RELACBW027SBOG_PC1
1980-01-01,15.13191
1980-02-01,15.59562
1980-03-01,15.39066
1980-04-01,15.08963
1980-05-01,14.05264
1980-06-01,12.60112
1980-07-01,11.34832
1980-08-01,10.56833
1980-09-01,9.61598
1980-10-01,9.01760
1980-11-01,8.88860
1980-12-01,8.60786
1981-01-01,8.13699
1981-02-01,7.29753
1981-03-01,7.23706
1981-04-01,7.06717
1981-05-01,7.84616
1981-06-01,8.53802
1981-07-01,8.25010
1981-08-01,8.57337
1981-09-01,8.82359
1981-10-01,8.53584
1981-11-01,8.03374
1981-12-01,8.09028
1982-01-01,8.17376
1982-02-01,8.36952
1982-03-01,8.78813
1982-04-01,8.70646
1982-05-01,8.33055
1982-06-01,8.11241
1982-07-01,7.81843
1982-08-01,7.27872
1982-09-01,6.90665
1982-10-01,6.61612
1982-11-01,6.33059
1982-12-01,5.69634
1983-01-01,5.83822
1983-02-01,5.50586
1983-03-01,4.85746
1983-04-01,4.94985
1983-05-01,4.89428
1983-06-01,5.06876
1983-07-01,6.10051
1983-08-01,6.77848
1983-09-01,7.62132
1983-10-01,8.37442
1983-11-01,9.33768
1983-12-01,10.23739
1984-01-01,10.34116
1984-02-01,11.31694
1984-03-01,12.32004
1984-04-01,12.95353
1984-05-01,13.45248
1984-06-01,13.84663
1984-07-01,13.59048
1984-08-01,13.63622
1984-09-01,13.66721
1984-10-01,13.52133
1984-11-01,13.78760
1984-12-01,13.88950
1985-01-01,13.65748
1985-02-01,13.57988
1985-03-01,13.16933
1985-04-01,12.75807
1985-05-01,12.68975
1985-06-01,12.38437
1985-07-01,12.43878
1985-08-01,12.40180
1985-09-01,12.25751
1985-10-01,12.68378
1985-11-01,12.39536
1985-12-01,12.31410
1986-01-01,12.71277
1986-02-01,12.74705
1986-03-01,12.89314
1986-04-01,13.22753
1986-05-01,13.35893
1986-06-01,13.40399
1986-07-01,13.87244
1986-08-01,14.27859
1986-09-01,14.48065
1986-10-01,14.35788
1986-11-01,14.36637
1986-12-01,16.00491
1987-01-01,17.77019
1987-02-01,17.59905
1987-03-01,18.01102
1987-04-01,18.69560
1987-05-01,19.03172
1987-06-01,19.91345
1987-07-01,20.13068
1987-08-01,20.00906
1987-09-01,20.14178
1987-10-01,20.47940
1987-11-01,20.53198
1987-12-01,19.40075
1988-01-01,17.62377
1988-02-01,17.19029
1988-03-01,16.65201
