DATE,MORTGAGE30US_PC1
1980-01-01,23.94129
1980-02-01,25.29426
1980-03-01,46.58066
1980-04-01,55.51322
1980-05-01,33.41441
1980-06-01,15.16854
1980-07-01,9.91661
1980-08-01,13.21435
1980-09-01,16.79204
1980-10-01,18.51343
1980-11-01,10.71707
1980-12-01,14.65116
1981-01-01,15.73675
1981-02-01,16.04678
1981-03-01,0.76885
1981-04-01,-4.56355
1981-05-01,15.00491
1981-06-01,31.35327
1981-07-01,38.05208
1981-08-01,37.61943
1981-09-01,37.60182
1981-10-01,33.80220
1981-11-01,25.48398
1981-12-01,14.57742
1982-01-01,17.31750
1982-02-01,16.28944
1982-03-01,11.42857
1982-04-01,8.42105
1982-05-01,1.67967
1982-06-01,0.01497
1982-07-01,-0.09506
1982-08-01,-5.87214
1982-09-01,-15.03304
1982-10-01,-20.84101
1982-11-01,-22.44039
1982-12-01,-19.60345
1983-01-01,-24.23506
1983-02-01,-25.88436
1983-03-01,-25.40793
1983-04-01,-24.33104
1983-05-01,-24.25423
1983-06-01,-22.92259
1983-07-01,-20.18316
1983-08-01,-15.11985
1983-09-01,-11.04342
1983-10-01,-7.34529
1983-11-01,-2.82098
1983-12-01,-1.49736
1984-01-01,0.90583
1984-02-01,1.45678
1984-03-01,4.57813
1984-04-01,6.81036
1984-05-01,10.37008
1984-06-01,12.01243
1984-07-01,9.27954
1984-08-01,4.77915
1984-09-01,4.54612
1984-10-01,4.39601
1984-11-01,1.51098
1984-12-01,-1.78838
1985-01-01,-2.18814
1985-02-01,-2.36161
1985-03-01,-1.61363
1985-04-01,-3.35103
1985-05-01,-7.37673
1985-06-01,-15.26776
1985-07-01,-17.96489
1985-08-01,-15.78438
1985-09-01,-15.03484
1985-10-01,-14.11890
1985-11-01,-13.59437
1985-12-01,-14.56753
1986-01-01,-16.74187
1986-02-01,-17.10526
1986-03-01,-23.46241
1986-04-01,-24.68738
1986-05-01,-21.44959
1986-06-01,-12.54605
1986-07-01,-12.67401
1986-08-01,-16.29739
1986-09-01,-17.92085
1986-10-01,-17.80799
1986-11-01,-17.72743
1986-12-01,-17.31794
1987-01-01,-15.45104
1987-02-01,-15.19608
1987-03-01,-10.36706
1987-04-01,-1.05660
1987-05-01,4.45584
1987-06-01,-1.35736
1987-07-01,-2.18415
1987-08-01,1.27451
1987-09-01,8.79340
1987-10-01,12.89352
1987-11-01,9.85044
1987-12-01,14.28571
1988-01-01,12.80422
1988-02-01,8.91825
1988-03-01,9.90592
1988-04-01,3.75795
1988-05-01,-1.33069
1988-06-01,-0.73547
1988-07-01,1.49835
1988-08-01,2.58955
1988-09-01,-3.74282
1988-10-01,-8.50355
1988-11-01,-3.61502
1988-12-01,-0.26316
1989-01-01,3.34698
1989-02-01,7.60677
1989-03-01,11.09768
1989-04-01,8.31210
1989-05-01,3.03682
1989-06-01,-2.52390
1989-07-01,-5.26745
1989-08-01,-5.77967
1989-09-01,-3.37786
1989-10-01,-3.44577
1989-11-01,-4.84657
1989-12-01,-8.17942
1990-01-01,-7.78192
1990-02-01,-4.20385
1990-03-01,-6.92531
1990-04-01,-6.15385
1990-05-01,-2.73845
1990-06-01,-0.31385
1990-07-01,1.54313
1990-08-01,1.15173
1990-09-01,0.48390
1990-10-01,2.31214
1990-11-01,2.52368
1990-12-01,-0.73378
1991-01-01,-2.60232
1991-02-01,-8.16377
1991-03-01,-7.47955
1991-04-01,-8.46191
1991-05-01,-9.59675
1991-06-01,-5.40142
1991-07-01,-4.58396
1991-08-01,-8.47525
1991-09-01,-11.47420
1991-10-01,-12.99435
1991-11-01,-13.00180
1991-12-01,-12.14784
1992-01-01,-12.50843
1992-02-01,-6.43353
1992-03-01,-5.94737
1992-04-01,-6.74216
1992-05-01,-8.44595
1992-06-01,-11.49246
1992-07-01,-15.11227
1992-08-01,-13.72782
1992-09-01,-12.04552
1992-10-01,-8.66177
1992-11-01,-4.67172
1992-12-01,-3.43042
1993-01-01,-5.21229
1993-02-01,-12.32525
1993-03-01,-16.11640
1993-04-01,-15.59446
1993-05-01,-13.91836
1993-06-01,-12.83784
1993-07-01,-11.34350
1993-08-01,-10.81505
1993-09-01,-12.71695
1993-10-01,-15.50445
1993-11-01,-13.84708
1993-12-01,-12.60054
1994-01-01,-11.66719
1994-02-01,-6.89880
1994-03-01,2.40160
1994-04-01,11.29550
1994-05-01,15.17080
1994-06-01,13.21200
1994-07-01,19.53927
1994-08-01,19.68366
1994-09-01,24.94577
1994-10-01,30.59701
1994-11-01,28.16212
1994-12-01,28.24875
1995-01-01,29.56799
1995-02-01,23.41839
1995-03-01,10.25407
1995-04-01,0.04810
1995-05-01,-7.47310
1995-06-01,-9.90176
1995-07-01,-11.68447
1995-08-01,-7.66520
1995-09-01,-11.62037
1995-10-01,-16.24650
1995-11-01,-19.54744
1995-12-01,-21.72211
1996-01-01,-23.14840
1996-02-01,-19.85273
1996-03-01,-9.90310
1996-04-01,-4.74760
1996-05-01,1.44563
1996-06-01,9.96564
1996-07-01,8.37989
1996-08-01,1.80662
1996-09-01,7.77894
1996-10-01,5.88629
1996-11-01,3.25991
1996-12-01,5.52083
1997-01-01,11.29445
1997-02-01,8.12721
1997-03-01,3.58736
1997-04-01,2.74448
1997-05-01,-1.56134
1997-06-01,-7.57212
1997-07-01,-9.06610
1997-08-01,-6.52337
1997-09-01,-9.72053
1997-10-01,-7.84586
1997-11-01,-5.42137
1997-12-01,-6.61402
1998-01-01,-10.60838
1998-02-01,-7.94118
1998-03-01,-9.74992
1998-04-01,-12.31194
1998-05-01,-10.07049
1998-06-01,-9.00520
1998-07-01,-7.27576
1998-08-01,-7.45321
1998-09-01,-9.52221
1998-10-01,-8.00658
1998-11-01,-4.71895
1998-12-01,-5.03171
1999-01-01,-2.98828
1999-02-01,-3.33688
1999-03-01,-1.22764
1999-04-01,-3.13725
1999-05-01,0.01400
1999-06-01,7.89568
1999-07-01,9.78136
1999-08-01,14.73456
1999-09-01,16.36296
1999-10-01,17.01937
1999-11-01,12.70940
1999-12-01,17.42357
2000-01-01,21.00221
2000-02-01,22.29159
2000-03-01,17.04545
2000-04-01,17.87883
2000-05-01,19.17425
2000-06-01,9.77483
2000-07-01,6.75445
2000-08-01,1.07019
2000-09-01,1.14414
2000-10-01,-0.72593
2000-11-01,0.09693
2000-12-01,-6.69869
2001-01-01,-14.34227
2001-02-01,-15.31532
2001-03-01,-15.63107
2001-04-01,-13.18614
2001-05-01,-16.08925
2001-06-01,-13.61004
2001-07-01,-12.51918
2001-08-01,-13.42261
2001-09-01,-13.83342
2001-10-01,-15.10584
2001-11-01,-14.03486
2001-12-01,-4.29423
2002-01-01,-0.49769
2002-02-01,-2.23404
2002-03-01,0.89183
2002-04-01,-1.30696
2002-05-01,-4.74458
2002-06-01,-7.12291
2002-07-01,-9.01438
2002-08-01,-9.49640
2002-09-01,-10.63440
2002-10-01,-7.63128
2002-11-01,-8.86152
2002-12-01,-14.40198
2003-01-01,-15.45552
2003-02-01,-15.23395
2003-03-01,-18.09239
2003-04-01,-16.78597
2003-05-01,-19.42404
2003-06-01,-21.35338
2003-07-01,-13.14572
2003-08-01,-0.41335
2003-09-01,0.90275
2003-10-01,-2.62577
2003-11-01,-2.23303
2003-12-01,-2.83588
2004-01-01,-3.43982
2004-02-01,-3.55156
2004-03-01,-5.22193
2004-04-01,0.30108
2004-05-01,14.33260
2004-06-01,20.21989
2004-07-01,7.51886
2004-08-01,-6.32982
2004-09-01,-6.40098
2004-10-01,-3.85585
2004-11-01,-3.41340
2004-12-01,-2.11028
2005-01-01,-0.04376
2005-02-01,-0.13310
2005-03-01,8.87052
2005-04-01,0.42882
2005-05-01,-8.77193
2005-06-01,-11.22068
2005-07-01,-5.96103
2005-08-01,-0.80954
2005-09-01,0.34758
2005-10-01,5.98515
2005-11-01,10.47120
2005-12-01,9.04033
2006-01-01,7.61821
2006-02-01,11.10618
2006-03-01,6.68016
2006-04-01,11.14432
2006-05-01,15.34091
2006-06-01,19.70620
2006-07-01,18.74451
2006-08-01,12.09622
2006-09-01,10.88500
2006-10-01,4.82275
2006-11-01,-1.42180
2006-12-01,-2.18431
2007-01-01,1.17982
2007-02-01,0.51979
2007-03-01,-2.65655
2007-04-01,-5.03265
2007-05-01,-5.08526
2007-06-01,-0.36666
2007-07-01,-0.99815
2007-08-01,0.73574
2007-09-01,-0.31238
2007-10-01,0.27527
2007-11-01,-0.51282
2007-12-01,-0.65200
2008-01-01,-7.39043
2008-02-01,-5.84726
2008-03-01,-3.02144
2008-04-01,-4.24757
2008-05-01,-3.60907
2008-06-01,-5.06947
2008-07-01,-4.01792
2008-08-01,-1.43792
2008-09-01,-5.40541
2008-10-01,-2.74510
2008-11-01,-1.94104
2008-12-01,-13.27317
2009-01-01,-12.33935
2009-02-01,-13.30798
2009-03-01,-16.20603
2009-04-01,-18.71567
2009-05-01,-19.52452
2009-06-01,-14.24051
2009-07-01,-18.73638
2009-08-01,-19.83790
2009-09-01,-16.23188
2009-10-01,-20.12903
2009-11-01,-19.91786
2009-12-01,-6.73477
2010-01-01,-0.34671
2010-02-01,-2.72904
2010-03-01,-0.69965
2010-04-01,5.98753
2010-05-01,0.61760
2010-06-01,-12.59225
2010-07-01,-12.60054
2010-08-01,-14.73279
2010-09-01,-14.06822
2010-10-01,-14.68094
2010-11-01,-11.79487
2010-12-01,-4.38134
2011-01-01,-5.46720
2011-02-01,-0.75150
2011-03-01,-2.64721
2011-04-01,-5.06081
2011-05-01,-5.11509
2011-06-01,-4.80211
2011-07-01,-0.41630
2011-08-01,-3.55731
2011-09-01,-5.52232
2011-10-01,-3.72781
2011-11-01,-7.15116
2011-12-01,-16.03734
2012-01-01,-17.66562
2012-02-01,-21.45381
2012-03-01,-18.23821
2012-04-01,-19.21488
2012-05-01,-18.10243
2012-06-01,-18.51441
2012-07-01,-21.89219
2012-08-01,-15.64403
2012-09-01,-14.81978
2012-10-01,-16.84081
2012-11-01,-16.04258
2012-12-01,-15.48762
2013-01-01,-12.79693
2013-02-01,-9.19023
2013-03-01,-9.83814
2013-04-01,-11.89258
2013-05-01,-6.89837
2013-06-01,10.74830
2013-07-01,23.09859
2013-08-01,23.70905
2013-09-01,28.37741
2013-10-01,23.93200
2013-11-01,26.93914
2013-12-01,33.25859
2014-01-01,29.81839
2014-02-01,21.79759
2014-03-01,21.80926
2014-04-01,25.90711
2014-05-01,18.55204
2014-06-01,2.27273
2014-07-01,-5.49199
2014-08-01,-7.65260
2014-09-01,-7.29399
2014-10-01,-3.72137
2014-11-01,-6.05170
2014-12-01,-13.31464
2015-01-01,-17.19314
2015-02-01,-13.77106
2015-03-01,-13.18365
2015-04-01,-15.34294
2015-05-01,-8.39695
2015-06-01,-4.32432
2015-07-01,-2.03390
2015-08-01,-5.10328
2015-09-01,-6.54655
2015-10-01,-5.94648
2015-11-01,-1.37586
2015-12-01,2.58799
2016-01-01,5.51771
2016-02-01,-1.34771
2016-03-01,-2.01592
2016-04-01,-1.82462
2016-05-01,-6.25000
2016-06-01,-10.40804
2016-07-01,-14.97776
2016-08-01,-12.03585
2016-09-01,-11.05398
2016-10-01,-8.58799
2016-11-01,-4.37540
2016-12-01,5.90313
2017-01-01,7.16591
2017-02-01,13.86612
2017-03-01,13.58960
2017-04-01,12.20527
2017-05-01,11.38889
2017-06-01,9.41704
2017-07-01,15.33430
2017-08-01,12.95488
2017-09-01,9.97110
2017-10-01,12.24784
2017-11-01,4.03183
2017-12-01,-5.90758
2018-01-01,-2.83133
2018-02-01,3.89922
2018-03-01,5.91039
2018-04-01,10.44499
2018-05-01,14.36409
2018-06-01,17.05943
2018-07-01,14.11468
2018-08-01,17.26804
2018-09-01,21.61629
2018-10-01,24.00513
2018-11-01,24.06935
2018-12-01,17.40506
2019-01-01,10.70056
2019-02-01,0.92379
2019-03-01,-4.02790
2019-04-01,-7.27476
2019-05-01,-11.20802
2019-06-01,-16.79431
2019-07-01,-16.84152
2019-08-01,-20.52747
2019-09-01,-22.09616
2019-10-01,-23.64389
2019-11-01,-24.06494
2019-12-01,-19.78437
2020-01-01,-18.81720
2020-02-01,-20.70938
2020-03-01,-19.10903
2020-04-01,-20.19312
2020-05-01,-20.61640
2020-06-01,-16.83103
2020-07-01,-19.89376
2020-08-01,-18.83296
2020-09-01,-19.83356
2020-10-01,-23.15618
2020-11-01,-25.16915
2020-12-01,-27.84946
2021-01-01,-24.53091
2021-02-01,-18.90332
2021-03-01,-10.65217
2021-04-01,-7.44102
2021-05-01,-8.35267
2021-06-01,-5.92885
2021-07-01,-4.90716
2021-08-01,-3.15162
2021-09-01,0.34602
2021-10-01,8.23924
2021-11-01,10.94033
2021-12-01,15.42474
2022-01-01,25.95978
2022-02-01,33.89680
2022-03-01,35.34469
2022-04-01,62.82680
2022-05-01,76.54008
2022-06-01,85.61345
2022-07-01,88.72036
2022-08-01,83.72911
2022-09-01,110.75862
2022-10-01,124.93888
2022-11-01,121.84189
2022-12-01,105.42285
2023-01-01,82.07547
2023-02-01,66.31229
2023-03-01,56.85523
2023-04-01,27.29553
2023-05-01,22.84895
2023-06-01,21.58638
2023-07-01,26.37413
2023-08-01,35.41407
2023-09-01,17.80105
2023-10-01,10.43478
2023-11-01,11.19275
